% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.218298840e+03 +4.218298840e+03 +5.218298840e+03 +5.218298840e+03 +2.6386e+00 -2.4596e+00 -1.3000e-01 -3.1589e+00 -2.1167e+00 -1.6827e+00 -3.6991e+00 +4.0898e+00 +3.8690e-01 -3.4389e-01 +1.5013e+00 -2.6458e+00 -1.1328e+00 -2.6874e+00 -4.4038e+00 -3.4201e+00 -4.5441e+00 +4.7573e+00 -4.1000e+00 -1.7121e+00
2 +1.484832740e+03 +1.484832740e+03 +2.484832740e+03 +2.484832740e+03 -4.0817e+00 +4.4425e+00 +1.4625e+00 +2.1163e+00 +9.2162e-02 -2.0288e+00 -1.6032e+00 -1.7345e+00 +3.2405e+00 -1.3084e+00 +4.8452e+00 -3.2981e+00 +1.1914e+00 -7.4381e-01 +7.6961e-01 +2.9173e+00 -1.7091e+00 +4.1516e+00 -3.5516e+00 +2.5775e+00
11 +7.684411613e+02 +7.684411613e+02 +1.768441161e+03 +1.768441161e+03 -2.7196e+00 -6.2692e-01 +1.7861e+00 +2.6142e+00 -1.3044e+00 +1.3755e+00 +9.9528e-01 +3.5769e+00 -3.9127e+00 +2.5406e+00 -4.6660e+00 -1.5649e+00 -2.4519e+00 -3.3740e+00 +1.8059e+00 +7.3779e-01 +1.0592e+00 +2.2272e-01 +1.5173e+00 +1.4141e+00
% function evaluation | noise-free fitness - Fopt (7.003000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.490296994e+03 +1.490296994e+03 +1.560326994e+03 +1.560326994e+03 +4.0374e+00 -2.2310e+00 -1.3212e+00 -1.0623e+00 -3.3927e+00 -5.9994e-01 +7.9638e-01 +4.1317e+00 +1.3776e+00 -3.6350e+00 +4.6377e+00 -4.9281e+00 +2.1728e-01 -3.8370e+00 +4.4007e+00 -4.2152e+00 +4.5113e+00 +1.0637e+00 -4.5804e+00 +1.2491e+00
34 +6.891012383e+02 +6.891012383e+02 +7.591312383e+02 +7.591312383e+02 +2.3388e+00 -4.2421e+00 -2.1939e+00 +1.3197e+00 -2.2544e+00 -4.5409e+00 +8.7910e-01 +2.1913e+00 -3.8066e+00 -2.0665e+00 -6.1396e-01 -8.7753e-01 +6.1643e-01 +4.2518e+00 -8.2861e-01 +1.0417e+00 +2.5709e+00 +2.6853e+00 -4.4001e+00 -3.3897e+00
% function evaluation | noise-free fitness - Fopt (-4.822000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.380158310e+03 +2.380158310e+03 +2.331938310e+03 +2.331938310e+03 -2.6306e+00 -3.6774e+00 -1.3625e+00 -1.7842e+00 +2.7767e+00 -3.2646e+00 +3.6930e+00 +1.1529e+00 -8.9396e-01 +1.9080e+00 -1.8299e+00 -3.7669e+00 +3.6424e+00 -4.5100e+00 -2.4598e+00 -2.7256e+00 +4.6374e+00 +3.4925e+00 +4.1357e+00 -2.3346e+00
5 +1.365273014e+03 +1.365273014e+03 +1.317053014e+03 +1.317053014e+03 -2.7361e+00 +1.8947e+00 -6.4558e-02 +9.4192e-01 +2.4951e+00 +1.6954e+00 +1.2029e-01 -2.6317e+00 +4.2056e+00 +4.4278e+00 -3.0285e+00 +2.2966e-01 -4.0587e+00 -3.6738e+00 +1.7419e+00 +1.9668e+00 +4.2321e-01 +4.1294e+00 +2.2059e+00 +3.0418e+00
8 +8.789373689e+02 +8.789373689e+02 +8.307173689e+02 +8.307173689e+02 +1.6356e-01 -3.0601e+00 -1.2935e+00 +4.3803e+00 -4.0108e+00 +1.8027e+00 -8.7709e-01 +1.9269e+00 +2.5135e+00 -1.4440e+00 -3.0313e+00 +1.8614e-01 -1.9387e+00 +1.0966e-01 -2.8486e+00 -2.3266e+00 -1.8449e-01 +1.0935e+00 +4.2559e+00 +2.7041e+00
% function evaluation | noise-free fitness - Fopt (2.547000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.183581696e+03 +4.183581696e+03 +4.209051696e+03 +4.209051696e+03 +4.6971e+00 -1.5883e+00 +2.5889e+00 -1.3558e+00 +3.6015e+00 +2.9410e+00 -1.5326e-01 +5.8859e-01 -2.8883e+00 -2.9240e-01 -2.6882e+00 +2.9493e+00 -1.1583e+00 +3.4388e+00 -2.7700e+00 +7.4852e-01 -4.0906e+00 +3.8285e+00 -1.3558e+00 -1.9040e+00
2 +3.920241661e+03 +3.920241661e+03 +3.945711661e+03 +3.945711661e+03 +1.7816e-01 -2.5931e+00 +3.8610e+00 +4.0456e-03 +7.9187e-01 -2.1781e+00 -3.7320e+00 -3.6131e+00 +3.5669e+00 +1.8886e+00 +1.7481e+00 +2.2516e-01 -3.2302e+00 +1.8243e+00 -3.8665e+00 +2.0009e+00 -3.8501e+00 -1.7348e+00 -1.1199e+00 +3.9662e+00
4 +9.330991636e+02 +9.330991636e+02 +9.585691636e+02 +9.585691636e+02 -4.2953e+00 -2.7839e-01 +2.7894e+00 -3.2695e+00 -4.3313e+00 -1.3584e+00 -2.5099e+00 -2.6983e+00 +3.4087e+00 -1.2848e+00 +3.6734e+00 -3.9646e+00 +3.0061e+00 +2.2487e+00 -1.9118e+00 -3.1557e+00 +4.7344e+00 +2.2076e+00 +6.0781e-01 +2.3655e+00
% function evaluation | noise-free fitness - Fopt (-1.008100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.456131451e+03 +2.456131451e+03 +2.355321451e+03 +2.355321451e+03 -5.8546e-01 +1.6359e+00 -1.3572e+00 +7.9074e-01 -1.7587e+00 +2.5328e+00 +2.3683e+00 +2.0879e+00 +4.3151e+00 +4.7215e+00 -4.2350e-01 -4.3125e+00 +3.4586e+00 -3.1326e+00 -2.2887e+00 -2.7387e+00 +4.0477e+00 +3.6072e+00 +1.7098e+00 -1.6918e+00
4 +1.072260747e+03 +1.072260747e+03 +9.714507469e+02 +9.714507469e+02 -1.1941e-01 -1.9728e+00 -1.3536e+00 -3.8804e+00 +2.0589e+00 +3.0122e+00 -4.4356e+00 -1.7756e+00 +2.8099e+00 -2.6678e+00 +3.3189e+00 -3.6241e+00 -2.1018e+00 -2.3397e+00 -2.4326e+00 +3.6093e+00 +3.0852e+00 +2.5208e+00 -1.8746e+00 -1.5741e+00
