% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.656947070e+03 +3.656947070e+03 +3.194857070e+03 +3.194857070e+03 -1.7771e+00 +2.7921e+00 +1.5165e+00 -4.4798e+00 -4.4047e+00 -4.9751e-01 +4.6997e+00 +4.1294e+00 -5.8963e-01 +3.5056e+00 -2.8085e+00 +3.4018e+00 -6.6647e-01 -4.5745e+00 -1.7843e+00 -2.5489e+00 +1.5743e+00 -1.3890e+00 -3.7902e+00 +4.5843e+00
8 +2.166088594e+03 +2.166088594e+03 +1.703998594e+03 +1.703998594e+03 -2.4010e+00 -4.4853e+00 +2.3315e+00 -4.8214e+00 +3.0123e+00 -8.9460e-01 -1.1706e+00 +1.9501e+00 -2.6936e+00 +3.9463e+00 -1.8362e+00 -2.5900e+00 -2.5902e+00 -8.9898e-01 -5.0619e-01 +4.6117e+00 -4.8184e+00 -3.9994e+00 -1.9755e+00 -3.9077e+00
26 +1.472628658e+03 +1.472628658e+03 +1.010538658e+03 +1.010538658e+03 +2.3206e+00 -3.6849e+00 -1.4640e+00 +4.6633e+00 -4.5196e+00 -3.5363e-01 -4.0276e+00 -2.6878e+00 -6.3110e-01 +3.4664e-01 -2.3178e+00 +4.5464e+00 -4.5387e+00 +2.4575e+00 -4.9814e-01 +1.7046e+00 -1.8554e+00 -1.5922e+00 +2.5724e+00 +2.6812e+00
96 +8.687991055e+02 +8.687991055e+02 +4.067091055e+02 +4.067091055e+02 +1.1094e+00 +2.2957e+00 +1.2349e+00 +1.5609e+00 -2.4465e+00 +4.7513e+00 -2.7740e+00 -1.8032e+00 -8.0107e-02 +3.3156e+00 +5.4150e-01 -3.8836e-01 -2.3215e+00 -1.2928e+00 +9.3257e-02 -1.8874e+00 -4.3647e+00 +4.2136e+00 -1.9690e+00 +4.0599e-01
% function evaluation | noise-free fitness - Fopt (7.766000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.259297112e+04 +1.259297112e+04 +1.267063112e+04 +1.267063112e+04 +2.7395e+00 +2.8416e+00 +1.4836e+00 +7.6342e-01 +3.4969e+00 +8.4666e-01 -2.4059e+00 +4.5655e+00 +1.1375e+00 -3.1385e+00 -4.3692e+00 -9.0612e-01 +4.2174e+00 -2.0027e+00 +4.9874e+00 -2.5929e+00 -1.9417e+00 -1.5309e+00 +4.5047e+00 -4.4375e+00
2 +3.851535032e+03 +3.851535032e+03 +3.929195032e+03 +3.929195032e+03 +2.9025e+00 +4.6298e+00 -7.8631e-01 +4.4198e+00 +2.7721e+00 +3.4419e+00 +9.3513e-01 +4.8438e+00 +3.1455e+00 +4.5603e-01 -3.9332e+00 -1.9757e+00 -5.0945e-01 -4.5386e+00 +2.7870e+00 -2.8725e+00 -1.1039e+00 +4.8637e+00 +7.3037e-01 +2.1045e+00
8 +1.214070745e+03 +1.214070745e+03 +1.291730745e+03 +1.291730745e+03 -6.2449e-01 +2.8304e+00 +1.0900e-01 -4.2793e+00 -5.9258e-01 -1.6170e-01 -3.8235e+00 +4.8561e+00 -2.8790e+00 -3.6265e+00 +4.7750e-01 -2.4951e+00 +4.3544e-01 -2.3130e+00 -1.1032e+00 -4.4332e-02 -4.0120e+00 -3.3936e+00 -4.0658e+00 -6.6075e-02
65 +9.812555330e+02 +9.812555330e+02 +1.058915533e+03 +1.058915533e+03 -2.5515e+00 -3.5542e+00 -4.0440e-01 +2.2480e+00 +2.6862e+00 -4.3750e+00 -1.4477e+00 +2.0028e+00 -1.7458e+00 +1.5168e+00 +3.0900e+00 +6.1208e-01 -2.5672e+00 +4.4217e+00 +1.4250e+00 -2.8335e-01 -1.3682e+00 -2.3743e+00 +1.0703e+00 +2.2273e+00
% function evaluation | noise-free fitness - Fopt (1.156800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.251501637e+03 +1.251501637e+03 +1.367181637e+03 +1.367181637e+03 -1.9475e+00 -3.9757e+00 -1.0617e+00 -1.1169e-01 +4.0698e+00 -3.5659e-01 +4.4828e-01 +2.2079e+00 -3.5095e+00 -3.9798e+00 +9.3327e-01 +2.6900e+00 +2.3379e+00 -3.0133e+00 -2.3897e+00 -1.0349e+00 -3.5217e+00 +2.2773e+00 +3.9857e+00 -3.0456e+00
57 +7.443718144e+02 +7.443718144e+02 +8.600518144e+02 +8.600518144e+02 -1.2459e+00 -4.1547e-01 -3.2175e-01 +3.2255e+00 +5.6845e-01 +2.8125e+00 +4.2408e+00 +1.7385e+00 +3.4850e-01 -2.7463e+00 -5.6805e-01 -2.9377e-01 -1.0654e+00 +2.0121e+00 +4.5533e-01 -2.4587e+00 -2.2200e+00 +2.1510e+00 +8.0933e-01 +6.5275e-01
% function evaluation | noise-free fitness - Fopt (-3.710000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.081674642e+04 +1.081674642e+04 +1.081303642e+04 +1.081303642e+04 -1.3472e+00 -1.8495e-01 +2.9644e+00 +3.7417e+00 -4.7277e+00 +1.2327e-01 -2.4061e+00 +4.6381e-01 -3.3448e+00 -3.2105e+00 +1.5888e+00 -2.1268e+00 -8.1756e-01 +3.5014e+00 +4.3470e+00 -1.8612e-01 +2.8891e+00 -3.3699e+00 -2.2966e+00 -4.4069e+00
